Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale
52;Pays de la Loire;44;2;07;043;Clisson;7 435;241;7676
52;Pays de la Loire;44;5;08;044;Conquereuil;1 095;28;1123
52;Pays de la Loire;44;2;28;156;Corcoué-sur-Logne;3 022;39;3061
52;Pays de la Loire;44;2;03;045;Cordemais;3 754;47;3801
52;Pays de la Loire;44;3;23;046;Corsept;2 640;55;2695
52;Pays de la Loire;44;2;24;047;Couëron;22 309;275;22584
52;Pays de la Loire;44;5;01;048;Couffé;2 548;51;2599
52;Pays de la Loire;44;3;02;049;Le Croisic;4 118;56;4174
52;Pays de la Loire;44;3;19;050;Crossac;2 983;26;3009
52;Pays de la Loire;44;5;08;051;Derval;3 505;428;3933
52;Pays de la Loire;44;2;30;029;Divatte-sur-Loire;6 975;122;7097
52;Pays de la Loire;44;3;27;052;Donges;8 152;94;8246
52;Pays de la Loire;44;3;19;053;Drefféac;2 270;37;2307
52;Pays de la Loire;44;5;06;054;Erbray;3 043;72;3115
52;Pays de la Loire;44;5;05;056;Fay-de-Bretagne;3 676;62;3738
52;Pays de la Loire;44;5;19;057;Fégréac;2 349;61;2410
52;Pays de la Loire;44;5;06;058;Fercé;472;11;483
52;Pays de la Loire;44;3;23;061;Frossay;3 216;57;3273
52;Pays de la Loire;44;5;03;062;Le Gâvre;1 821;41;1862
52;Pays de la Loire;44;2;28;223;Geneston;3 677;48;3725
52;Pays de la Loire;44;2;07;063;Gétigné;3 719;88;3807
52;Pays de la Loire;44;2;07;064;Gorges;4 851;360;5211
52;Pays de la Loire;44;5;06;065;Grand-Auverné;769;21;790
52;Pays de la Loire;44;5;05;066;Grandchamps-des-Fontaines;6 439;117;6556
52;Pays de la Loire;44;5;08;224;La Grigonnais;1 711;21;1732
52;Pays de la Loire;44;5;08;067;Guémené-Penfao;5 233;82;5315
52;Pays de la Loire;44;3;19;068;Guenrouet;3 374;55;3429
52;Pays de la Loire;44;3;09;069;Guérande;16 112;575;16687
52;Pays de la Loire;44;2;31;070;La Haie-Fouassière;4 691;111;4802
52;Pays de la Loire;44;2;29;071;Haute-Goulaine;5 893;157;6050
52;Pays de la Loire;44;3;09;072;Herbignac;7 046;127;7173
52;Pays de la Loire;44;5;18;073;Héric;6 288;114;6402
52;Pays de la Loire;44;2;24;074;Indre;4 040;45;4085
52;Pays de la Loire;44;5;06;075;Issé;1 807;39;1846
52;Pays de la Loire;44;5;08;076;Jans;1 391;21;1412
52;Pays de la Loire;44;5;18;077;Joué-sur-Erdre;2 561;33;2594
52;Pays de la Loire;44;5;06;078;Juigné-des-Moutiers;332;3;335
52;Pays de la Loire;44;2;30;079;Le Landreau;3 083;296;3379
52;Pays de la Loire;44;3;03;080;Lavau-sur-Loire;772;26;798
52;Pays de la Loire;44;2;28;081;Legé;4 565;112;4677
52;Pays de la Loire;44;5;18;082;Ligné;5 302;106;5408
52;Pays de la Loire;44;2;28;083;La Limouzinière;2 467;30;2497
52;Pays de la Loire;44;5;01;213;Loireauxence;7 480;127;7607
52;Pays de la Loire;44;2;30;084;Le Loroux-Bottereau;8 397;135;8532
52;Pays de la Loire;44;5;06;085;Louisfert;986;40;1026
52;Pays de la Loire;44;5;08;086;Lusanger;1 055;21;1076
52;Pays de la Loire;44;2;10;087;Machecoul-Saint-Même;7 581;236;7817
52;Pays de la Loire;44;2;07;088;Maisdon-sur-Sèvre;3 007;43;3050
52;Pays de la Loire;44;3;03;089;Malville;3 531;55;3586
52;Pays de la Loire;44;2;10;090;La Marne;1 621;17;1638
52;Pays de la Loire;44;5;08;091;Marsac-sur-Don;1 519;15;1534
52;Pays de la Loire;44;5;08;092;Massérac;692;13;705
52;Pays de la Loire;44;2;04;094;Mauves-sur-Loire;3 244;65;3309
52;Pays de la Loire;44;5;06;095;La Meilleraye-de-Bretagne;1 547;24;1571
52;Pays de la Loire;44;5;01;096;Mésanger;4 749;80;4829
52;Pays de la Loire;44;3;09;097;Mesquer;2 039;45;2084
52;Pays de la Loire;44;3;19;098;Missillac;5 398;68;5466
52;Pays de la Loire;44;5;06;099;Moisdon-la-Rivière;1 968;60;2028
52;Pays de la Loire;44;2;07;100;Monnières;2 290;60;2350
52;Pays de la Loire;44;2;23;101;La Montagne;6 290;140;6430
52;Pays de la Loire;44;2;28;102;Montbert;3 191;55;3246
52;Pays de la Loire;44;3;27;103;Montoir-de-Bretagne;7 180;79;7259
52;Pays de la Loire;44;5;01;104;Montrelais;840;11;851
52;Pays de la Loire;44;5;08;105;Mouais;372;7;379
52;Pays de la Loire;44;3;20;106;Les Moutiers-en-Retz;1 765;21;1786
52;Pays de la Loire;44;5;18;107;Mouzeil;1 911;25;1936
52;Pays de la Loire;44;2;30;108;Mouzillon;2 865;54;2919
52;Pays de la Loire;44;2;96;109;Nantes;318 808;5 167;323975
52;Pays de la Loire;44;5;18;110;Nort-sur-Erdre;9 082;194;9276
52;Pays de la Loire;44;5;18;111;Notre-Dame-des-Landes;2 260;25;2285
52;Pays de la Loire;44;5;06;112;Noyal-sur-Brutz;591;11;602
52;Pays de la Loire;44;5;08;113;Nozay;4 195;89;4284
52;Pays de la Loire;44;2;25;114;Orvault;27 209;699;27908
52;Pays de la Loire;44;5;01;115;Oudon;3 872;66;3938
52;Pays de la Loire;44;3;23;116;Paimbœuf;3 023;111;3134
52;Pays de la Loire;44;2;30;117;Le Pallet;3 257;51;3308
52;Pays de la Loire;44;5;01;118;Pannecé;1 409;24;1433
